Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target
image_ben_996.png,Negative,Sarcastic,Non Vulgar,Abusive,"Gender, Individual, Religion"
image_ben_760.png,Negative,Sarcastic,Non Vulgar,Abusive,"Gender, National Origin, Political"
image_ben_1791.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Gender, Religion"
image_ben_7680.jpg,Negative,Sarcastic,Vulgar,Abusive,"Gender, Social Sub-groups"
image_ben_7214.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4186.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4657.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7345.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4231.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4189.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7692.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4782.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5150.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4031.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7394.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5104.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4678.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4978.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4744.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4779.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3416.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3723.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5248.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_7312.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7688.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4590.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3621.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3526.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5047.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_151.png,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4570.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_3579.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7698.jpg,Positive,Sarcastic,Vulgar,Abusive,Individual
image_ben_3620.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3825.jpg,Neutral,Sarcastic,Vulgar,Abusive,Individual
image_ben_7693.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4137.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1329.png,Positive,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4716.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3538.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4553.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4234.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4337.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5147.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7352.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4793.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4501.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_5220.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4701.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4583.jpg,Neutral,Sarcastic,Vulgar,Abusive,Individual
image_ben_4966.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4967.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4184.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4564.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3726.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1455.png,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5222.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1962.png,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4638.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4098.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4344.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4855.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7642.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4654.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_7213.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4563.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7212.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4557.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4677.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3504.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4211.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4778.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_5262.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4227.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_3734.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4560.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3731.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_3917.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5295.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_2988.png,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1564.png,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7636.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5176.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4483.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5270.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4341.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4656.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5167.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4640.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_5083.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4673.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_2979.png,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7647.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4658.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4965.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_5045.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4788.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4763.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4738.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4353.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5273.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5073.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4492.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_1941.png,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3771.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7435.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4530.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_1469.png,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3916.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4327.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4676.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_1189.png,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5219.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5111.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1447.png,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4813.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_7585.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4222.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_3775.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4255.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4660.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4717.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_17.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4798.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5239.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_5200.jpg,Neutral,Sarcastic,Vulgar,Abusive,Individual
image_ben_7702.jpg,Positive,Sarcastic,Vulgar,Abusive,Individual
image_ben_5266.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4339.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_7542.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4789.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4623.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4687.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4815.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_3855.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual
image_ben_4843.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1126.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual
image_ben_4797.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_4941.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
image_ben_3844.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual
image_ben_1581.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, National Origin"
image_ben_742.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, National Origin, Political"
image_ben_168.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, National Origin, Religion"
image_ben_415.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_4435.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_382.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1089.png,Neutral,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_388.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_4405.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_725.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_943.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_391.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1097.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_2026.png,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1120.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_7.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_709.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_2024.png,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_3154.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_405.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1740.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_187.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1081.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1086.png,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_446.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_4430.jpg,Positive,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1015.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_974.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_2043.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1095.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_408.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_4367.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_4436.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1810.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_410.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_5094.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_4396.jpg,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_4305.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1053.png,Positive,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1041.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1886.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_389.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_637.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_505.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_2048.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_778.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_376.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_5132.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1021.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_390.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_521.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_626.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_200.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_644.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_201.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_3947.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_4448.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_982.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_2021.png,Negative,Non-Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_401.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1013.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_385.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_527.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1054.png,Neutral,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_533.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1157.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_522.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_590.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_3028.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_437.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_4041.jpg,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1066.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_1748.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_4781.jpg,Negative,Sarcastic,Vulgar,Abusive,"Individual, Political"
image_ben_600.png,Negative,Sarcastic,Non Vulgar,Abusive,"Individual, Political"
image_ben_1082.png,Negative,Non-Sarcastic,Non Vulgar,Abusive,"Individual, Political, Religion"
image_ben_4975.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Religion"
image_ben_4370.jpg,Positive,Sarcastic,Non Vulgar,Abusive,"Individual, Religion"
image_ben_1077.png,Negative,Sarcastic,Vulgar,Abusive,"Individual, Religion"
image_ben_2864.png,Negative,Sarcastic,Non Vulgar,Abusive,National Origin
image_ben_1920.png,Negative,Sarcastic,Vulgar,Abusive,National Origin
image_ben_2576.png,Positive,Non-Sarcastic,Non Vulgar,Abusive,National Origin
image_ben_2818.png,Negative,Sarcastic,Non Vulgar,Abusive,National Origin
image_ben_2399.png,Negative,Sarcastic,Non Vulgar,Abusive,National Origin
image_ben_1963.png,Negative,Sarcastic,Non Vulgar,Abusive,National Origin
image_ben_23.png,Negative,Sarcastic,Vulgar,Abusive,National Origin
image_ben_169.png,Negative,Sarcastic,Vulgar,Abusive,"National Origin, Political"
image_ben_558.png,Negative,Sarcastic,Vulgar,Abusive,"National Origin, Religion"
image_ben_5195.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4288.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_3482.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4287.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4105.jpg,Neutral,Sarcastic,Vulgar,Abusive,None
image_ben_4445.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_1218.png,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4343.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4235.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_3667.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,None
image_ben_5148.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4858.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,None
image_ben_3622.jpg,Neutral,Sarcastic,Vulgar,Abusive,None
image_ben_5293.jpg,Positive,Sarcastic,Vulgar,Abusive,None
image_ben_5142.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_3358.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_7665.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_3503.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,None
image_ben_4574.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,None
image_ben_5208.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_2464.png,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4187.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_3185.png,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4088.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,None
image_ben_4110.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4188.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_4340.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_2954.png,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4806.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4229.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_4861.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,None
image_ben_3614.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4318.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_3427.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4618.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4547.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4850.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_4851.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_5000.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_5267.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None
image_ben_1448.png,Negative,Non-Sarcastic,Vulgar,Abusive,None
image_ben_1441.png,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_3616.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,None
image_ben_3484.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None
image_ben_5152.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,None
